gene,gene_name,zscore,VAR_g,n,covariance_n,model_n,pred_perf_R2
UBE2Q1,UBE2Q1,0.199852583358,0.0244832672792,24,24,24,0.0172377851204
RNF14,RNF14,0.910531670159,0.0416979585693,12,12,12,0.0627923312844
UBE2Q2,UBE2Q2,0.417383384775,0.0245565472803,54,54,54,0.0121990606366
RNF10,RNF10,0.273719684384,0.00976751331946,16,16,16,0.0118615600053
RNF13,RNF13,-0.214567194887,0.162610890927,30,30,30,0.194883763518
REM2,REM2,-0.481899582532,0.0543366063986,14,14,14,0.0823917771906
C16orf13,C16orf13,-0.0443062692855,0.317723848301,40,40,40,0.357598786039
MZT2A,MZT2A,-0.646968914682,0.779890569872,74,75,75,0.761834087749
MZT2B,MZT2B,-0.270754854772,0.00730383156006,6,6,6,0.0144384872955
PMM2,PMM2,0.103341272844,0.31672563498,75,76,76,0.476555081543
PMM1,PMM1,-0.950333147535,0.150523493113,89,90,90,0.15750750703
FHIT,FHIT,1.00424687066,0.0768769031322,82,82,82,0.111901257276
ZNF709,ZNF709,-0.547796457761,0.034226837744,20,20,20,0.0412824186348
ZNF708,ZNF708,0.360228665381,0.159154911828,25,25,25,0.233854842019
ZNF879,ZNF879,0.560818946101,0.1023060468,15,16,16,0.17951681097
ZNF878,ZNF878,0.387978829031,0.0148495010709,14,14,14,0.0215412949862
DISC1,DISC1,0.077404487686,0.0462873596131,10,10,10,0.0733053966233
CAMK1,CAMK1,1.18899475464,0.00166075168657,9,9,9,0.000493641161488
RPL37,RPL37,0.0600698535152,0.000145424543138,2,2,2,0.000770341958584
ZNF701,ZNF701,-0.0813179869181,0.218543397647,58,59,59,0.264617525418
ZNF707,ZNF707,0.654989056381,0.086441245505,16,16,16,0.112744788142
CAMK4,CAMK4,-1.30113168918,0.0375595174653,22,23,23,0.0533516659275
ZNF704,ZNF704,0.502034065018,0.0473227430684,65,65,65,0.0459204667328
ZC3H10,ZC3H10,1.55689988773,0.00210229271111,6,6,6,0.000234934662228
RNF114,RNF114,-0.276033343569,0.0132669026101,20,21,21,0.0234134479518
RNF115,RNF115,0.884560920288,0.0122109130684,5,5,5,0.0111899799257
RNF112,RNF112,-0.847844951869,0.248869375171,15,16,16,0.338080693609
ZC3H14,ZC3H14,-1.06051341365,0.00142297554694,10,10,10,1.84908606093e-05
RNF111,RNF111,1.31413731134,2.97453635532e-05,1,1,1,0.00779902176709
DHX8,DHX8,0.229983539267,0.0295986774186,23,23,23,0.02684383512
TCOF1,TCOF1,-0.931410579114,0.000877967909994,6,7,7,0.000432951356578
XPC,XPC,-0.698947691149,0.0200141841862,24,24,24,0.0247959984819
SP1,SP1,-0.0187741741036,0.0419812169682,20,20,20,0.0659873244367
XPA,XPA,1.82086353286,0.00468777147638,14,14,14,0.0013009507858
SP4,SP4,0.808807664112,0.017548201957,39,40,40,0.00698485905955
SPPL3,SPPL3,0.449976864742,0.0252855810055,27,29,29,0.0218500963584
GOLIM4,GOLIM4,0.829783665988,0.00199356641972,13,13,13,0.00078795636171
OPA3,OPA3,-1.00615251954,0.0178924514181,16,16,16,0.0281586456912
OPA1,OPA1,2.76156026602,0.0977125630332,17,17,17,0.151035566723
RAB40C,RAB40C,0.714575887344,0.0809123717531,14,14,14,0.123705039867
RAB40B,RAB40B,0.319086807942,0.0134724883637,21,21,21,0.0102665161656
COL7A1,COL7A1,0.408740459676,0.0222429831942,18,18,18,0.0280302614135
GTSE1,GTSE1,-0.543188534421,0.000278228319488,1,1,1,0.00029986007708
B2M,B2M,2.40313361404,0.0124772965529,12,12,12,0.0127335824653
OVCH1,OVCH1,1.84738902151,0.012630660219,19,19,19,0.0234164397272
FAM183B,FAM183B,-0.894182146827,0.158175711818,32,32,32,0.256634005067
SPPL2A,SPPL2A,-1.1136193839,0.0715212375171,33,33,33,0.105975566063
SPPL2B,SPPL2B,-2.25051511532,0.0134577113841,13,13,13,0.0280879929355
NSL1,NSL1,1.2839813132,0.219054659018,36,36,36,0.28799120202
ITGA9,ITGA9,-1.17993271943,0.0422911244095,29,29,29,0.0719048867983
UGCG,UGCG,-0.469551048656,0.0152941611985,33,33,33,0.00749377310937
MYO3B,MYO3B,-0.795454731286,0.0499020840222,24,24,24,0.0801793356478
ATP2A1,ATP2A1,-0.358401908718,0.016582055864,8,8,8,0.0324826986413
ATP2A3,ATP2A3,1.28391864962,0.036369420508,50,50,50,0.0417275839797
ITGA1,ITGA1,1.86024218425,0.219697889228,111,113,113,0.234829917486
ITGA2,ITGA2,0.189442844266,0.102932497435,49,49,49,0.123673803416
ITGA3,ITGA3,3.23121948486,0.0623211013783,12,12,12,0.114924800015
ITGA4,ITGA4,-0.713909344054,0.256375452489,45,45,45,0.276063332478
ITGA5,ITGA5,0.259471528783,0.00334410920827,11,11,11,0.000873030227809
RIT1,RIT1,0.690269059777,0.0413231838224,9,9,9,0.0620962365319
ITGA7,ITGA7,-0.412891817486,0.0795662346314,43,43,43,0.102813185469
DENND4B,DENND4B,0.821813701603,0.0202644298424,14,14,14,0.0420932150954
DENND4C,DENND4C,-0.727932164037,0.0277996192868,13,13,13,0.0493623757208
SWAP70,SWAP70,0.492284088221,0.0729743371343,35,35,35,0.0753989862329
UFSP1,UFSP1,1.68955311971,0.395265966426,33,33,33,0.464982617657
PHLDA3,PHLDA3,0.00998489625875,0.0091203767632,22,22,22,0.00323314973319
UFSP2,UFSP2,0.438776434015,0.000488148622511,2,2,2,6.66100889224e-05
HRH4,HRH4,-0.47838662057,0.00618719863358,6,6,6,0.00492858803271
FBXL12,FBXL12,-0.249708839646,0.000831223321738,8,8,8,0.000553177575958
TIPRL,TIPRL,-0.736021846446,0.174194287864,31,31,31,0.219438660747
HRH3,HRH3,-1.14756571622,0.0350144514469,53,55,55,0.0205517779973
FBXL17,FBXL17,0.127568462789,0.0564438369394,35,37,37,0.0821445516689
